Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,Percent.renter.consolidated,Percent.owner.consolidated,Percent.white.consolidated,Percent.black.consolidated,Percent.asian.consolidated,Percent.native.consolidated,Percent.PI.consolidated,Percent.hispanicorlatino.consolidated,MHI.consolidated,Percent.renter.receiving,Percent.owner.receiving,Percent.white.receiving,Percent.black.receiving,Percent.asian.receiving,Percent.native.receiving,Percent.PI.receiving,Percent.hispanicorlatino.receiving,MHI.receiving
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301566,LAKE CAHUILLA COUNTY PARK,NC,County (other),61,500,8/10/17,NA,17-Aug,Coachella Valley Water District:  Cove Community,CA3310001,County Water District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-116.276955,33.630365,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,297500,Community water system,NA,NA,NA,NA,27.47474747,72.52525253,47.62237762,0.13986014,4.755244755,4.685314685,0,35.73426573,47604,29.81599741,70.18400259,38.61726999,2.089439774,3.273095357,0.256293541,0.079578193,53.9104175,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301153,"CVUSD, WESTSIDE SCHOOL",NTNC,School,11,975,2/10/21,NA,21-Feb,COACHELLA VWD: COVE COMMUNITY,CA3310001,County Water District,"CHROMIUM 6, COLIFORM",Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-116.229993,33.641433,Both,Partnership tool just lists coliform,NA,No,No,5,Coachella,GW,NA,GW,GW,297500,Community water system,0,1,1,NA,6.193078324,93.80692168,20.32204331,0,0,0,0,79.67795669,67171,29.81599741,70.18400259,38.61726999,2.089439774,3.273095357,0.256293541,0.079578193,53.9104175,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301276,THERMAL MUTUAL WATER COMPANY,C,MWC,36,100,2/10/21,NA,21-Feb,COACHELLA VWD: COVE COMMUNITY,CA3310001,County Water District,"CHROMIUM 6, COLIFORM",Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-116.2118438,33.65657888,Both,"Excel data said chromium was issue, partnerships tool said Coliform listing both here",NA,No,No,5,Coachella,GW,NA,GW,GW,297500,Community water system,0,1,1,NA,24.6492986,75.3507014,0.718562874,0,0,0,0,99.28143713,13974,29.81599741,70.18400259,38.61726999,2.089439774,3.273095357,0.256293541,0.079578193,53.9104175,NA
DISTRICT 20 - RIVERSIDE,IMPERIAL,CA1310011,COACHELLA VWD: I.D. NO. 11,C,County Water District,2776,7500,2/25/21,NA,21-Feb,COACHELLA VWD: COVE COMMUNITY,CA3310001,County Water District,None,None,0,0,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet",NA,No,No,5,Coachella,GW,NA,GW,GW,297500,Community water system,0,1,1,NA,42.01183432,57.98816568,30.63973064,0,0,0,0,69.36026936,NA,29.81599741,70.18400259,38.61726999,2.089439774,3.273095357,0.256293541,0.079578193,53.9104175,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3303100,OASIS GARDENS WATER CO.,NC,MHP,160,314,3/9/21,NA,21-Mar,COACHELLA VWD: COVE COMMUNITY,CA3310001,County Water District,"ARSENIC, CHROMIUM 6",Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-116.1504896,33.549898,Both,Excel data had different receiving system ID number (CA3310002) but tool has this one and based on internet research that is the correct one,NA,No,No,5,Coachella,GW,NA,GW,GW,297500,Community water system,90.07701962,2,1,NA,19.43005181,80.56994819,3.497757848,0,0,0.762331839,0,95.73991031,22609,29.81599741,70.18400259,38.61726999,2.089439774,3.273095357,0.256293541,0.079578193,53.9104175,NA
DISTRICT 03 - MENDOCINO,LAKE,CA1700544,COBB AREA CWD - BONANZA SPRINGS,C,CSA,180,594,8/18/18,Aug.2018,18-Aug,Cobb Area County Water District,CA1710012,County Water District,Fire impacts,Disaster,0,0,0,1,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf,-122.698112,38.8619308,Both,"On yearly excel sheets listed as none for issues. Changed type from managerial to regionalization based on on success story. Appear twice in excel data because the process started with managerial but not counting that because it doesn't seem like it was ever the end goal just a step in the process (double check that). Made date aug 18, 2018 based on success story",NA,No,No,9,Cobb,GW,NA,GW,GW,3308,Community water system,2625.212513,5,NA,NA,14.69298246,85.30701754,89.53488372,1.976744186,0,0,0,3.953488372,52287,15.97204026,84.02795974,91.13516217,0.02640366,0,9.30E-06,0,8.838362057,116550.1698
DISTRICT 03 - MENDOCINO,LAKE,CA1700501,ADAMS SPRINGS WATER DISTRICT,C,Water District,77,99,8/18/18,Aug.2018,18-Aug,Cobb Area County Water District,CA1710012,County Water District,historic E.coli issues and source capacity,Multiple,1,1,0,0,0,TA/SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf,-122.7276252,38.84671579,Both,Changed date to match others and what is in success story but originally said june,NA,No,No,9,Cobb,GWP,NA,GWP,GW,3308,Community water system,10.14807361,2,NA,NA,11.2244898,88.7755102,88.88888889,0,0,0,0,11.11111111,138138,15.97204026,84.02795974,91.13516217,0.02640366,0,9.30E-06,0,8.838362057,116550.1698
DISTRICT 03 - MENDOCINO,LAKE,CA1700526,PINE GROVE WATER SYSTEM,C,Private (other),90,352,8/18/18,Aug.2018,18-Aug,Cobb Area County Water District,CA1710012,County Water District,"TMF failures, under receivership",TMF Capacity,0,0,1,0,0,Technical Assistance/SWRCB,Regionalization,Physical,Voluntary,NA,-122.730287,38.829578,Both,Changed date to match others and what is in success story but originally said may,NA,No,No,9,Cobb,GWP,NA,GWP,GW,3308,Community water system,372.455628,3,NA,NA,30.12987013,69.87012987,99.74489796,0.12755102,0,0,0,0.12755102,52176,15.97204026,84.02795974,91.13516217,0.02640366,0,9.30E-06,0,8.838362057,116550.1698
DISTRICT 03 - MENDOCINO,LAKE,CA1700542,Branding Iron Mutual*,C,MWC,27,90,8/18/18,Aug.2018,18-Aug,Cobb Area County Water District,CA1710012,County Water District,Valley Fire impacted,Disaster,0,0,0,1,0,TA/SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf,-122.721253,38.822877,Both,"Changed type from managerial to regionalization based on on success story. Appear twice in excel data because the process started with managerial but not counting that because it doesn't seem like it was ever the end goal just a step in the process (double check that). Made date aug 18, 2018 based on success story",NA,No,No,9,Cobb,GW,NA,GW,GW,3308,Community water system,NA,NA,NA,NA,30.12987013,69.87012987,99.74489796,0.12755102,0,0,0,0.12755102,52176,15.97204026,84.02795974,91.13516217,0.02640366,0,9.30E-06,0,8.838362057,116550.1698
DISTRICT 03 - MENDOCINO,LAKE,CA1700563,Lake County CSA 22 - Mount Hannah^,C,CSA,39,95,8/18/18,Aug.2018,18-Aug,Cobb Area County Water District,CA1710012,County Water District,Valley Fire impacted,Disaster,0,0,0,1,0,TA/SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf,-122.729131,38.88741,Both,"Changed type from managerial to regionalization based on on success story. Appear twice in excel data because the process started with managerial but not counting that because it doesn't seem like it was ever the end goal just a step in the process (double check that). Made date aug 18, 2018 based on success story System number for managerial consolidation was different. CA1700563",NA,No,No,9,Cobb,GW,NA,GW,GW,3308,Community water system,3839.753913,10,NA,NA,14.69298246,85.30701754,89.53488372,1.976744186,0,0,0,3.953488372,52287,15.97204026,84.02795974,91.13516217,0.02640366,0,9.30E-06,0,8.838362057,116550.1698
DISTRICT 03 - MENDOCINO,LAKE,CA1700574,Lake County CSA 18 - Starview^,C,CSA,64,172,8/18/18,Aug.2018,18-Aug,Cobb Area County Water District,CA1710012,County Water District,Valley Fire impacted,Disaster,0,0,0,1,0,TA/SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf,-122.701879,38.817775,Both,"Changed type from managerial to regionalization based on on success story. Appear twice in excel data because the process started with managerial but not counting that because it doesn't seem like it was ever the end goal just a step in the process (double check that).Made date aug 18, 2018 based on success story",NA,No,No,9,Cobb,GW,NA,GW,GW,3308,Community water system,98.5212273,2,NA,NA,9.493670886,90.50632911,90.61135371,1.091703057,0,0.873362445,0,1.528384279,45804,15.97204026,84.02795974,91.13516217,0.02640366,0,9.30E-06,0,8.838362057,116550.1698
DISTRICT 03 - MENDOCINO,LAKE,CA1700552,Hill Nine and Ten*,C,MWC,17,50,8/18/18,Aug.2018,18-Aug,Cobb Area County Water District,CA1710012,County Water District,"Valley Fire impacted, storage and source capacity",Multiple,1,0,0,1,0,TA/SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf,-122.7519933,38.905975,Both,"Changed type from managerial to regionalization based on on success story. Appear twice in excel data because the process started with managerial but not counting that because it doesn't seem like it was ever the end goal just a step in the process (double check that). Made date aug 18, 2018 based on success story",NA,No,No,9,Cobb,GW,NA,GW,GW,3308,Community water system,5921.414589,12,NA,NA,14.69298246,85.30701754,89.53488372,1.976744186,0,0,0,3.953488372,52287,15.97204026,84.02795974,91.13516217,0.02640366,0,9.30E-06,0,8.838362057,116550.1698
DISTRICT 03 - MENDOCINO,LAKE,CA1700530,Cobb mountain water company,NP,IOU,64,76,21-Jul,NA,21-Jul,Cobb area water,CA1710012,County Water District,Valley Fire impacted,NA,NA,NA,NA,NA,NA,NA,Regionalization,Physical,Voluntary,NA,NA,NA,OTHER,Added to cobb area water regionalization project according to success story,"Yes, consolidation completed, will be added to map next q",No,No,9,Cobb,GW,NA,GW,GW,3308,Community water system,681.4420801,3,NA,NA,30.12987013,69.87012987,99.74489796,0.12755102,0,0,0,0.12755102,52176,15.97204026,84.02795974,91.13516217,0.02640366,0,9.30E-06,0,8.838362057,116550.1698
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3303085,"HITS, INC. - OOB",NC,Private (other),5,900,8/10/17,NA,17-Aug,CVWD,CA3310001,County Water District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-116.2191162,33.7122802,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,297500,Community water system,1354.984314,3,1,NA,2.992957746,97.00704225,83.38907469,0.11148272,0,0,0,14.49275362,43516,29.81599741,70.18400259,38.61726999,2.089439774,3.273095357,0.256293541,0.079578193,53.9104175,NA
DISTRICT 24 - TULARE,TULARE,CA5400957,WEST GOSHEN MUTUAL WATER CO,C,MWC,100,400,NA,14-Jun,14-Jun,CWS - VISALIA,CA5410016,IOU,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/west_goshen_mwc.pdf,-119.4615901,36.34898964,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,141165,Community water system,4303.313818,1,NA,NA,56.41025641,43.58974359,22.80163599,0,0,0,0,75.4601227,29189,41.99883824,58.00116176,37.37055263,2.208271059,5.697828745,0.419460658,0.034936903,52.60374602,NA
DISTRICT 24 - TULARE,TULARE,CA5400966,WESTLAKE VILLAGE MHP,C,MHP,137,350,2/15/17,NA,17-Feb,CWS-Visalia,CA5410016,IOU,Water outage,Capacity,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.3183382,36.2877026,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,141165,Community water system,9.244496013,2,NA,NA,7.623888183,92.37611182,51.80961824,0.049578582,7.139315816,0.347050074,0,32.57312841,86750,41.99883824,58.00116176,37.37055263,2.208271059,5.697828745,0.419460658,0.034936903,52.60374602,NA
DISTRICT 24 - TULARE,TULARE,CA5400570,CHINOWTH APARTMENTS,C,Private (other),10,28,4/1/17,Mar.2017,17-Apr,CWS-Visalia,CA5410016,IOU,Water Outage,Capacity,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.334984,36.325368,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,141165,Community water system,NA,NA,NA,NA,95.94594595,4.054054054,33.6858006,5.5387714,1.711983887,1.359516616,0,50.85599194,31616,41.99883824,58.00116176,37.37055263,2.208271059,5.697828745,0.419460658,0.034936903,52.60374602,NA
NA,TULARE,CA5400553,TRAVER WATER LLC,C,IOU,180,500,NA,NA,15-Aug,DEL ORO TRAVER DISTRICT,CA5400553,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,Moved from private to IOU in 2015,"confirm ""managerial consolidation"" definition",No,Yes,NA,Yes,NA,GW,GW,GW,660,Community water system,NA,NA,NA,NA,49.72375691,50.27624309,8.266666667,0,0.266666667,0,0,88.8,48194,49.72375691,50.27624309,8.266666667,0,0.266666667,0,0,88.8,48194
NA,SHASTA,CA4500022,"HAT CREEK WATER COMPANY, LLC",C,IOU,62,198,19-Aug,NA,19-Aug,DEL ORO WATER CO. - HAT CREEK DISTRICT,CA4500022,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Additional cases,NA,"confirm ""managerial consolidation"" definition",No,Yes,NA,Yes,NA,SW,SW,SW,205,Community water system,NA,NA,NA,NA,24.58471761,75.41528239,96.07843137,0.140056022,0.420168067,0,0,3.361344538,58665,26.70083132,73.29916868,94.78383621,0.447182321,0.333968867,0.251894524,0,3.217522408,57982.6656
DISTRICT 21 - VALLEY,BUTTE,CA0400091,BUZZTAIL COMMUNITY SERVICE DISTRICT,C,CSD,30,99,NA,NA,15-Nov,DEL ORO WATER COMPANY - BUZZTAIL DIST.,CA0400091,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,"Bought in 2015, previously CSD","No records of change in ECM, would need to email district",No,No,NA,Yes,GW,GW,GW,GW,99,Community water system,NA,NA,NA,NA,10.15037594,89.84962406,92.0696325,0,5.609284333,0,0,0,92682,10.15037594,89.84962406,92.0696325,0,5.609284333,0,0,0,92682
NA,GLENN,CA1100404,BLACK BUTTE WATER CO.,C,IOU,87,249,NA,NA,15-Sep,DEL ORO WC - BLACK BUTTE DISTRICT,CA1100404,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,"Acquired in 2015, to IOU Private water company previously but owner died and children didn't want to operate it","Black Butte Water Co CA4700832 is inactive, the physical location was 316 Pony Trail, Mt Shasta, CA 96067, far from Del Oro BB - which the boundary map shows to be (Orleans, CA)",No,Yes,NA,Yes,NA,GW,GW,GW,284,Community water system,407.0287487,1,NA,NA,25.38860104,74.61139896,28.88700085,0,0,1.784197111,0,63.29651657,42468,17.80205236,82.19794764,73.02550919,0,1.990672181,2.49E-04,0,24.16836113,63651.19316
NA,TEHAMA,CA5200574,LARKSPUR MEADOWS WATER CO.,C,IOU,31,70,NA,NA,17-Mar,DEL ORO WC - LARKSPUR MEADOWS,CA5200574,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,"2016, private to IOU","No records of change in ECM, would need to email district",No,Yes,NA,Yes,NA,GW,GW,GW,112,Community water system,NA,NA,NA,NA,65.40469974,34.59530026,76.00216685,0.379198267,0.650054171,5.904658722,0,14.51787649,26270,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3303012,"BEL AIR GREENS, LP",NC,Private (other),1,150,4/18/17,NA,17-Apr,Desert Water Agency,CA3310005,Special Act District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-116.5115683,33.8081936,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,89232,Community water system,NA,NA,NA,NA,29.57540264,70.42459736,71.85454545,0.872727273,1.963636364,1.309090909,0.654545455,21.67272727,63295,39.66348291,60.33651709,47.28692872,5.340834004,4.110413932,0.711712188,0.231630647,39.99188608,NA
LPA37- Contra Costa County,CONTRA COSTA,CA0707602,BEACON WEST,C,MHP,17,45,1/1/18,Dec.2017,18-Jan,Diablo Water District,CA0710007,County Water District,Arsenic,Quality,0,1,0,0,0,LWS funded,Voluntary Consolidation,Physical,Voluntary,NA,-121.744998,37.960949,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,40144,Community water system,1575.085753,3,NA,NA,15.9453303,84.0546697,68.51664985,2.018163471,3.329969728,0,0,23.81432896,35721,24.09585564,75.90414436,45.86482816,7.33677464,7.39772757,0.798767809,1.621307044,30.48236146,NA
LPA34- Butte County,BUTTE,CA0400066,DURHAM UNIFIED SCHOOL DISTRICT,NTNC,School,18,1200,8/30/17,NA,17-Aug,Durham Irrigation,CA0410003,Irrigation District,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.8020703,39.6475502,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1561,Community water system,181.6410466,1,1,NA,22.72727273,77.27272727,92.88956127,0,4.387291982,0,0,2.723146747,103462,38.06842934,61.93157066,82.29053663,8.127185811,2.079586104,0,0,1.04338793,NA
LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,CA3601060,ROBERTSON'S READY MIX INC,NTNC,Private (other),1,100,2/22/18,NA,18-Feb,East Valley Water District,CA3610064,County Water District,historic uranium/gross alpha,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-117.206565,34.1030142,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,103000,Community water system,256.2268456,4,NA,NA,9.122807018,90.87719298,33.60120542,1.757910598,4.1185334,0,0,48.06629834,72917,44.8579379,55.1420621,22.21585456,11.26148213,5.591070728,0.240997283,0.580894537,56.98710257,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3302093,COUNTY WATER OF RIVERSIDE,C,Private (other),140,420,5/25/17,NA,17-May,Eastern Municipal Water District (EMWD),CA3310009,MWD,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/RIVERSIDE_COUNTY_WS.PDF,-117.37587,33.657021,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,608232,Community water system,11349.70614,6,NA,NA,31.31672598,68.68327402,54.97206704,0,2.793296089,3.575418994,0,34.8603352,91597,32.68674387,67.31325613,32.13200322,8.753835944,5.793402168,0.34730521,0.423145069,49.17618135,NA
LPA39- El Dorado County,EL DORADO,CA0900108,GOLD COUNTRY BAPTIST CHURCH,NC,Private (other),2,275,6/7/19,NA,19-Jun,El Dorado ID,CA0910001,Irrigation District,TCR,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.932803,38.666272,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,129007,Community water system,NA,NA,NA,NA,4.491413474,95.50858653,90.68994181,0,0,0,0,9.310058188,125486,22.06045698,77.93954302,77.82567025,0.967521826,5.398134631,0.385932875,0.178778369,11.39729206,NA
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400249,JOSEPH KERR MIDDLE SCHOOL,NTNC,School,12,1321,1/7/21,NA,21-Jan,ELK GROVE WATER SERVICE,CA3410008,RCD,NONE,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.37314,38.409591,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,42540,Community water system,0,1,1,NA,45.04391468,54.95608532,81.68888889,2.844444444,2.044444444,0,0,12.53333333,67279,22.38420077,77.61579923,49.18157746,7.355458855,18.96219889,0.336813138,1.438985285,17.02472901,103744.527
DISTRICT 20 - RIVERSIDE,RIVERSIDE,CA3310015,ELSINORE VALLEY MWD - TEMESCAL,C,MWD,696,2294,7/20/17,NA,17-Jul,Elsinore Valley MWD,CA3310012,MWD,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-117.339836,33.681182,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,152433,Community water system,NA,NA,NA,NA,34.43708609,65.56291391,34.25605536,0,3.044982699,0,0,56.53979239,51972,28.3170551,71.6829449,40.52233976,4.179231093,5.686454313,0.279559002,0.26432317,45.34656071,NA
LPA75 - SHASTA COUNTY,SHASTA,CA4500084,MCARTHUR MOBILEHOME PARK,C,MHP,41,99,NA,16-Oct,16-Oct,FALL RIVER VALLEY C.S.D.,CA4510008,CSD,Manganese,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-121.396952,41.051763,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1535,Community water system,3.060522658,1,NA,NA,43.72294372,56.27705628,60.57692308,0.437062937,0.437062937,0.961538462,0,24.03846154,41000,43.58362841,56.41637159,60.63477987,0.437157648,0.460612465,0.993182482,0,23.96205319,41044.85409
District 23 - Fresno,FRESNO,CA1000112,FAIRMONT SCHOOL,NTNC,School,6,483,6/10/19,NA,19-Jun,FCSA #10/Cumora Knolls,CA1000039,CSA,"Nitrate, 123-TCP",Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/FAIRMONT.PDF,-119.565632,36.780411,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,132,Community water system,3081.28373,6,NA,NA,5.845511482,94.15448852,51.54061625,0,15.26610644,1.470588235,0,31.72268908,127755,6.513035548,93.48696445,58.6869057,1.950358321,6.974618339,0.479230902,0.012245449,27.69530634,98872.03157
District 14 - San Diego,IMPERIAL,CA1310017,CHP CALEXICO PORT OF ENTRY,NTNC,State,1,223,12/8/17,NA,17-Dec,Gateway to Americas,CA1300018,CSA,DBPs,Quality,0,1,0,0,0,CalTrans,Voluntary Consolidation,Physical,Voluntary,NA,-115.38499,32.6807757,Both,NA,NA,No,No,2,Yes,SW,NA,SW,SW,1800,Community water system,NA,NA,NA,NA,18.58823529,81.41176471,0.996204934,2.277039848,0.474383302,0.806451613,0,95.4459203,49023,18.58823529,81.41176471,0.996204934,2.277039848,0.474383302,0.806451613,0,95.4459203,49023
District 19 - Tehachapi,KERN,CA1502163,LINNS VALLEY SCHOOL,NTNC,School,4,106,3/1/17,Feb.2017,17-Mar,Glennville Mutual Water Company,CA1503536,MWC,TCR,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-118.704235,35.72999,Both,System typle listed as NP in annual excel sheets.,NA,No,No,2,Yes,GW,NA,GW,GW,100,Community water system,43.47480674,2,1,NA,11.87648456,88.12351544,80.45851528,0.436681223,0,1.746724891,0,5.56768559,70540,11.87648456,88.12351544,80.45851528,0.436681223,0,1.746724891,0,5.56768559,70540
LPA37- Contra Costa County,CONTRA COSTA,CA0707558,HERTZ WATER SYSTEM,C,Private (other),16,35,2/22/19,NA,19-Feb,Golden State Water Company- Bay Point,CA0710002,IOU,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.9246386,38.01856574,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,22295,Community water system,287.7741467,2,NA,NA,59.75,40.25,7.75862069,6.763925729,16.37931034,0,0,68.50132626,69318,42.70004684,57.29995316,10.99166466,10.43780427,7.790338798,0.31330875,0.051372088,66.04486312,66125.74649
DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,CA4010040,RURAL WATER COMPANY,C,IOU,959,2559,NA,NA,15-Oct,GOLDEN STATE WATER COMPANY-CYPRESS RIDGE,CA4010040,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,"Competed end of 2015, now IOU was IOU so no change","Rural WC CA4000550 is inactive, physical location listed as Grover City 93483, close but not right in GSW boundaries for Cypress. No records of change in ECM, would need to email district.",No,No,NA,Yes,GW,GW,GW,GW,2559,Community water system,18491.90651,21,NA,NA,7.843137255,92.15686275,44.86754967,0,0,0,0,43.70860927,NA,10.74513951,89.25486049,73.87854365,0.002145142,3.323333805,0,0,6.30626425,100735.0406
DISTRICT 08 - SANTA ANA,ORANGE,CA3010070,GOLDEN STATE WC - YORBA LINDA,C,IOU,1682,5551,18-Oct,NA,18-Oct,GOLDEN STATE WC - PLACENTIA/YORBA LINDA,CA3010035,IOU,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-117.869498,33.868331,Both,NA,NA,No,No,2,Yes,SWP,NA,SWP,SWP,53965,Community water system,NA,NA,NA,NA,11.42857143,88.57142857,66.74208145,0,0,0,0,33.25791855,43400,37.7520963,62.2479037,38.21108451,2.002270997,15.31703312,0.045345078,0.117400189,40.76899976,100996.7849
LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,CA3601055,ROADRUNNER MHP,C,MHP,59,150,7/28/17,NA,17-Jul,Golden State-Morongo Del Norte,CA3600270,IOU,Uranium,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-116.54686,34.069041,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,870,Community water system,38.0022669,2,1,NA,7.849829352,92.15017065,79.00355872,0,0,0,0,19.21708185,53429,31.83752309,68.16247691,77.46828238,0.035323275,0.092723597,0.011151192,0.00637211,13.12029272,34960.88908
LPA49 - LA COUNTY,LOS ANGELES,CA1900912,GORMAN ELEMENTARY SCHOOL,NTNC,School,4,98,12/2/20,NA,20-Dec,GOLDEN VALLEY MUNICIPAL WATER DISTRICT,CA1900767,MWD,Coliform,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-118.854108,34.792755,Both,Yearly excel sheets said self-funded instead of private.,NA,No,No,2,Yes,GW,NA,GW,GW,70,Community water system,NA,NA,NA,NA,26.56903766,73.43096234,52.82087447,3.737658674,2.679830748,0.77574048,0,36.67136812,72500,26.64986099,73.35013901,52.75815112,3.659700365,2.624594464,0.779928843,0,36.87773059,72569.52179
LPA72 - SANTA BARBARA COUNTY,SANTA BARBARA,CA4200647,COMMUNITY CHRISTIAN SCHOOL,NTNC,School,4,80,2/13/18,NA,18-Feb,Goleta Water District,CA4210004,County Water District,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-119.799885,34.452451,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,84462,Community water system,NA,NA,NA,NA,24.88755622,75.11244378,78.80698351,0,8.050436469,0,0,9.311348206,189093,52.31010918,47.68989082,54.58652165,2.330197282,12.67695983,0.300080483,0,26.50554452,NA
