Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Vetted_address,GEOID,NAME,Race.estimate.total.x,B02001_001M,Race.white.alone.x,B02001_002M,Race.black.alone.x,B02001_003M,Race.native.alone.x,B02001_004M,Race.asian.alone.x,B02001_005M,Race.PI.alone.x,B02001_006M,Race.someother.alone.x,B02001_007M,Race.twoplus.x,B02001_008M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,AC_PHONE_N,AC_EMAIL,SHAPE_Leng_receiving,SHAPE_Area_receiving,Households.total,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.native.alone.y,Race.PI.alone.y,Race.someother.alone.y,Race.twoplus.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
District 09- Sacramento,EL DORADO,CA0910010,"PLACERVILLE, CITY OF - SIERRA GOLF & CC",C,City,264,320,6/20/17,NA,Jun-17,City of Placerville-Main,CA0910003,City,DBPs,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.802628,38.728678,Both,NA,NA,No,No,SWP,NA,SWP,SWP,10762,3101 Center Street PLACERVILLE CA 95667,060170312003,"Block Group 3, Census Tract 312, El Dorado County, California",1750,552,1621,548,25,25,0,13,26,27,0,13,5,10,73,39,62338,42856,427,115,282,136,145,80,530-642-5232,nstone@cityofplacerville.org,24551.034382500002,14543549.7239,1853.7476217473607,120642887.88808711,65.69009747324307,62.556925505380406,4938.6535659093515,18.782023804323252,0.026061632803807494,265.18801296014954,200.41530962614343,4325.995134907308,1853.7476217473607,1195.170010738943,658.5776110084179
District 01 - Klamath,HUMBOLDT,CA1200698,MOBILE ESTATES FN,C,MHP,66,120,6/26/17,NA,Jun-17,City of Eureka,CA1210004,City,DBPs,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-124.063488,40.842738,Both,Receiving system name listed as placerville city in excel data but that makes no sense and system number in web tool links to Eureka so put that,NA,No,No,GW,NA,GW,GWP,27078,7660 MYRTLE AVE EUREKA CA 90274,060230009004,"Block Group 4, Census Tract 9, Humboldt County, California",1305,310,1209,295,0,13,48,44,37,40,0,13,8,13,3,5,46806,20201,591,109,475,104,116,60,707-441-4360,mphansen@ci.eureka.ca.gov,49779.009883,78555024.4565,12953.907571553462,NA,1852.3939499904595,663.4409094680393,31294.815745110944,593.2475263911645,62.15230445441052,1792.193817120314,2830.578370427271,23500.808867259286,12953.907571553462,6139.858980826769,6814.048590726693
District 14 - San Diego,IMPERIAL,CA1310017,CHP CALEXICO PORT OF ENTRY,NTNC,State,1,223,12/8/17,NA,Dec-17,Gateway to Americas,CA1300018,CSA,DBPs,Quality,0,1,0,0,0,CalTrans,Voluntary Consolidation,Physical,Voluntary,NA,-115.38499,32.6807757,Both,NA,NA,No,No,SW,NA,SW,SW,1800,1700 E. Carr Road CALEXICO CA 92231,060250119032,"Block Group 2, Census Tract 119.03, Imperial County, California",2108,578,1611,544,48,66,17,27,10,19,0,13,311,262,111,128,49023,23116,425,114,346,99,79,63,442-265-1818,eddelgado@co.imperial.ca.us,12793.3903334,9766226.95226,34.798115635447935,1705908.0227965643,0.8187791914223044,3.9301401188270613,172.59865355182177,1.3919246254179176,0,25.464032853233668,9.088449024787579,131.90532773813325,34.798115635447935,28.329760023211733,6.468355612236205
DISTRICT 18 - SONOMA,SONOMA,CA4910202,SONOMA DEVELOPMENTAL CENTER,C,State,71,123,10/1/19,NA,Oct-19,Sonoma County Water Agency,CA4910020,Special Act District,"disinfection byproducts, HAA5",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.5192313,38.347162,Both,Excel data said disinfection byproduct for issue whereas partnership tool data said HAA5. Also excel data listed existing intertie for the funding mechanism,NA,No,No,SW,NA,SW,GW,0,15000 Arnold Drive ELDRIDGE CA 95431,060971505021,"Block Group 1, Census Tract 1505.02, Sonoma County, California",973,306,656,266,8,16,15,33,9,21,0,13,284,197,1,2,144219,38022,355,106,200,90,155,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DISTRICT 18 - SONOMA,SONOMA,CA4900922,SMOTHER'S WATER SYSTEM,NC,Private (other),1,45,5/9/17,NA,May-17,Kenwood Village Water,CA4910025,IOU,E. coli,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.546176,38.414022,Both,NA,NA,No,No,GW,NA,GW,GW,1000,9580 Sonoma Highway KENWOOD CA 95452,060971505011,"Block Group 1, Census Tract 1505.01, Sonoma County, California",331,174,282,160,0,13,0,13,49,57,0,13,0,13,0,13,NA,NA,245,118,236,116,9,14,707-539-6397,julie@mfcomputing.com,9172.36757688,2963619.66697,191.44219847127079,NA,37.73959521378985,0.05498851718006551,265.57079128349505,0,0,0.050525711309486604,0.2518091420186086,227.47387269919705,191.44219847127079,182.65767279349936,8.784525677771452
DISTRICT 18 - SONOMA,SONOMA,CA4901311,MARK WEST NEIGHBORHOOD CHURCH,NC,Private (other),3,60,10/18/18,NA,Oct-18,Town of Windsor,CA4910017,City,E. coli in source,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-122.778232,38.523685,Both,NA,NA,No,No,GW,NA,GW,GW,28397,5901 Old Redwood Highway SANTA ROSA CA 95403,060971527015,"Block Group 5, Census Tract 1527.01, Sonoma County, California",1284,277,840,239,0,13,32,48,49,59,11,26,192,219,160,179,40294,21630,696,141,600,152,96,73,707-838-5309,mcave@townofwindsor.com,37660.1562223,29789341.5637,8660.482785490036,NA,530.546253681967,178.67605040976323,25528.034499014415,495.6160892557503,55.76433794964292,3432.622242065842,1990.220031413343,18844.58949423811,8660.482785490036,6503.676477851892,2156.8063076381445
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000271,BUEHNER WATER SYSTEM-WEBER COMPLEX,C,Private (other),9,30,9/21/2018,NA,Sep-18,City of Patterson,CA5010017,City,E. coli in source,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.1273218,37.4842802,Both,NA,NA,No,No,GW,NA,GW,GW,23764,136 WEBER AVE PATTERSON CA 95363,060990032012,"Block Group 2, Census Tract 32.01, Stanislaus County, California",1814,479,1264,371,0,13,59,88,0,13,0,13,93,103,398,419,41446,4296,417,90,221,80,196,82,209-895-8065,MWILLETT@CI.PATTERSON.CA.US,77144.1218268,88514166.3049,2025.237614080816,NA,169.26433063734035,160.53492654233108,7380.935317852722,37.60138695464428,20.4787000741228,681.1316066953464,901.1884658585014,5410.735901090436,2025.237614080816,1354.809031238455,670.428582842361
LPA58 - NAPA COUNTY,"NAPA",CA2800538,CARNEROS INN,C,Private (other),1,30,7/20/2021,NA,Jul-21,City of Napa,CA2810003,City,Exceeded GW use allowed,NA,1,0,0,0,0,Private,NA,NA,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet",NA,No,No,GW,NA,GW,SW,86906,4048 SONOMA HIGHWAY NAPA CA 94559,060552011021,"Block Group 1, Census Tract 2011.02, Napa County, California",1380,268,1183,248,14,32,70,97,110,56,0,13,0,13,3,6,119107,27663,515,95,389,99,126,54,707-253-0822,EKEBBAS@CITYOFNAPA.ORG,157416.151365,446459062.019,31496.338403264683,NA,2401.252625000008,791.1685872306404,88113.11422778407,546.0221503614301,74,11374.905928201008,5567.501818014097,67358.26311897689,31496.338403264683,19066.72222841539,12429.61617484929
DISTRICT 03 - MENDOCINO,LAKE,CA1700581,CACHE CREEK MOBILE HOME PARK,C,MHP,42,150,9/16/2021,NA,Sep-21,KONOCTI COUNTY WATER DISTRICT,CA1710006,County Water District,Fire damage,Disaster,0,0,0,1,0,Private,NA,NA,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet",NA,No,No,SW,NA,SW,SW,5928,16535 DAM ROAD CLEARLAKE CA 95422,060330007022,"Block Group 2, Census Tract 7.02, Lake County, California",2030,617,911,395,0,13,131,198,7,16,0,13,773,571,208,298,43656,4635,579,130,381,110,198,106,707-994-2561,konoctiwater@mchsi.com,20520.0391968,12387395.2917,961.4959275584591,NA,15.221978409980878,16.944363023909467,3054.2823967315912,192.7546786850829,0,841.7207776889368,356.0571506836573,1631.5834482400242,961.4959275584591,618.8465306478541,342.649396910605
DISTRICT 18 - SONOMA,SONOMA,CA4900890,REDWOOD ADVENTIST ACADEMY,NTNC,School,3,140,NA,Nov-17,Nov-17,CALIFORNIA-AMERICAN LARKFIELD,CA4910023,IOU,Fire impacted,Disaster,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.740314,38.502131,Tool,NA,NA,No,No,GW,NA,GW,GW,7524,385 Mark West Springs Road SANTA ROSA CA 95404,060971527021,"Block Group 1, Census Tract 1527.02, Sonoma County, California",1110,286,1014,257,11,21,0,13,20,32,0,13,5,12,60,60,128375,27392,410,100,361,96,49,42,707-542-8329,margaret.digenova@amwater.com,29229.7751196,13091567.9667,1655.9163512596772,NA,102.94217396124829,20.647628340131398,4470.474617317573,6.92205737434508,15.188987244033832,344.2343109798851,422.4890195465155,3558.0504398714133,1655.9163512596772,1184.5948919845143,471.32145927516297
DISTRICT 03 - MENDOCINO,LAKE,CA1700544,COBB AREA CWD - BONANZA SPRINGS,C,CSA,180,594,8/18/18,Aug.2018,Aug-18,Cobb Area County Water District,CA1710012,County Water District,Fire impacts,Disaster,0,0,0,1,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf,-122.698112,38.8619308,Both,"On yearly excel sheets listed as none for issues. Changed type from managerial to regionalization based on on success story. Appear twice in excel data because the process started with managerial but not counting that because it doesn't seem like it was ever the end goal just a step in the process (double check that). Made date aug 18, 2018 based on success story",NA,No,No,GW,NA,GW,GW,3308,11310 FOREST OAKS DRIVE COBB CA 95453,060330011011,"Block Group 1, Census Tract 11.01, Lake County, California",860,263,784,255,17,28,0,13,0,13,0,13,20,31,39,32,52287,9121,456,137,389,141,67,45,707-928-5262,ben@cobbareawater.com,23000.6842326,7759738.08374,86.70315009300955,10105266.865838867,0,0.056578457453133446,214.28263217820228,1.9938002826739908e-5,0,18.88248643071024,0.05670306997080057,195.28684428206523,86.70315009300955,72.85488805247472,13.848262040534822
District 23 - Fresno,FRESNO,CA1000285,WASHINGTON COLONY SCHOOL,NTNC,School,12,550,6/28/19,NA,Jun-19,Washington HS,CA1000221,JPA,"Gross Alpha, 123-TCP",Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/easton_jpa.pdf,-119.7885131,36.649475,Both,Web tool partnership data says none for issues but year downloaded sheets list gross alpha and 123TCP,NA,No,No,GW,NA,GW,GW,1000,130 E LINCOLN FRESNO CA 93706,060190018004,"Block Group 4, Census Tract 18, Fresno County, California",1299,301,910,284,0,13,8,11,6,9,0,13,209,144,166,156,76422,17382,353,79,230,66,123,64,559-495-5600,rmorris@wusd.ws,1704.21932505,124122.005567,6.199068988899151,473745.2502696509,0.10536661170933401,0,22.81187143507081,0.14048881561244533,0,3.670270307875134,2.9151429239582405,15.980602775915656,6.199068988899151,4.039053448857803,2.160015540041347
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301735,WALLER TRACT WATER DISTRICT,C,MWC,88,350,5/2/19,NA,May-19,Indio Water Authority,CA3310020,City,Hexavalent chromium,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-116.214574,33.72952097,Both,NA,NA,No,No,GW,NA,GW,GW,79114,43-778 E. Circle Dr. Indio 92201,060650453031,"Block Group 1, Census Tract 453.03, Riverside County, California",955,273,404,166,0,13,0,13,58,61,0,13,476,248,17,28,36094,10703,364,83,198,58,166,67,760-625-1852,MPena@indio.org,62984.7563063,93637353.4692,30840.181173530753,NA,2153.041074299439,3584.2117312875607,82405.65297743952,363.43619047252207,1,26567.561333371214,7474.547771247633,42261.85487676115,30840.181173530753,21663.671648539883,9176.509524990872
DISTRICT 03 - MENDOCINO,LAKE,CA1700501,ADAMS SPRINGS WATER DISTRICT,C,Water District,77,99,8/18/18,Aug.2018,Aug-18,Cobb Area County Water District,CA1710012,County Water District,historic E.coli issues and source capacity,Multiple,1,1,0,0,0,TA/SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf,-122.7276252,38.84671579,Both,Changed date to match others and what is in success story but originally said june,NA,No,No,GWP,NA,GWP,GW,3308,14564 Emerford Rd COBB CA 95461,060330011022,"Block Group 2, Census Tract 11.02, Lake County, California",513,301,456,269,0,13,0,13,0,13,0,13,57,82,0,13,138138,109473,196,99,174,104,22,37,707-928-5262,ben@cobbareawater.com,23000.6842326,7759738.08374,86.70315009300955,10105266.865838867,0,0.056578457453133446,214.28263217820228,1.9938002826739908e-5,0,18.88248643071024,0.05670306997080057,195.28684428206523,86.70315009300955,72.85488805247472,13.848262040534822
DISTRICT 05 - MONTEREY,SANTA CRUZ,CA4410015,SLVWD-LOMPICO,C,County Water District,500,0,8/23/2018,NA,Aug-18,San Lorenzo Valley Water District,CA4410014,County Water District,historic HAA5 violations & source capacity issues,Multiple,1,1,0,0,0,SWRCB-drought intertie,Voluntary Consolidation,Physical,Voluntary,NA,-122.0479782,37.1112697,Both,NA,NA,No,No,GW,NA,GW,SW,21145,11255 LOMPICO ROAD FELTON CA 95018,060871206002,"Block Group 2, Census Tract 1206, Santa Cruz County, California",1877,345,1509,275,38,48,0,13,55,39,0,13,68,43,207,171,102845,13683,850,131,713,106,137,94,831-430-4624,rrogers@slvwd.com,187185.189401,248695280.318,7132.759179946542,763850875.5755144,238.9906158678629,107.9652301223933,18349.837561409277,114.53163749486417,56.88780494057294,509.91789518498166,975.2728200834954,16346.271557715108,7132.759179946542,5266.546321515616,1866.2128584309262
DISTRICT 21 - VALLEY,SUTTER,CA5100176,CALVARY CHRISTIAN CENTER,NTNC,Private (other),1,245,10/22/2018,NA,Oct-18,City of Yuba City,CA5110002,City,"historic nitrate, low level perchlorate",Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.664779,-121.664779,Both,Instead of what is listed for issues here the partnership tool says low level nitrate,NA,No,No,GW,NA,GW,SW,73202,2620 COLUSA HIGHWAY YUBA CITY CA 95993,061010505012,"Block Group 2, Census Tract 505.01, Sutter County, California",535,191,508,190,0,13,0,13,0,13,0,13,27,32,0,13,70208,35735,193,57,162,59,31,22,530-822-4759,tpioro@yubacity.net,55787.2160326,37813337.071,14126.639769550204,NA,5292.680597783856,1210.393649822517,39246.268434644124,514.533862325586,149.70057902631103,2889.083536562556,4409.750503450095,24780.125705673207,14126.639769550204,6414.818558986044,7711.8212105641605
DISTRICT 02 - LASSEN,LASSEN,CA1805009,WEST PATTON VILLAGE CSD,C,CSD,155,465,3/14/18,NA,Mar-18,Herlong Public Utility District,CA1805007,PUD,"historic TMF failures, old infrastructure",TMF Capacity,0,0,1,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-120.1583517,40.1395117,Both,Found twice in excel sheets. Other one is from 2017 but 2018 matches tool,NA,No,No,GWP,NA,GWP,GW,2114,100 Tamarack Street HERLONG CA 96113,060350406001,"Block Group 1, Census Tract 406, Lassen County, California",1001,284,794,247,102,86,73,82,0,13,0,13,0,13,32,55,50588,17861,454,116,283,94,171,75,530-827-3150,sandy@herlongpud.com,36835.1649179,60933637.6036,33.98664178521092,1890657.9561746684,5.960637048899731,60.9017631718501,327.33626898303504,17.334579852572634,0.6877658133345843,29.573929973387123,13.559356984274038,199.3182361387168,33.98664178521092,2.321937703904068,31.66470408130685
LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,CA3601060,ROBERTSON'S READY MIX INC,NTNC,Private (other),1,100,2/22/18,NA,Feb-18,East Valley Water District,CA3610064,County Water District,historic uranium/gross alpha,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-117.206565,34.1030142,Both,NA,NA,No,No,GW,NA,GW,SW,103000,8353 N ALABAMA AV REDLANDS CA 92373,060710076043,"Block Group 3, Census Tract 76.04, San Bernardino County, California",1991,435,1470,422,60,100,0,13,82,73,0,13,122,144,257,168,72917,29573,570,121,518,134,52,53,909-889-4500,jmura@eastvalley.org,82993.6380923,113897461.944,29811.46791380047,NA,6276.539777599106,13193.849074490232,109667.94420500641,1028.2976335642843,637.055096632478,21378.997235072144,9672.032846275546,57481.17254137262,29811.46791380047,16438.65815035034,13372.809763450128
DISTRICT 24 - TULARE,TULARE,NA,RESIDENTS OF MONSON-INDIVIDUAL WELL CONSOLIDATION PROJECT,NA,Domestic wells,34,140,NA,May.17,May-17,Monson Water System,CA5403212,CSD,Inadequate Capacity/Nitrate,Multiple,1,1,0,1,0,"SWRCB, DWR, USDA",Domestic well consolidation,Physical,Voluntary,NA,-119.33742,36.494021,Both,"new district formed. Drought impacts,  I added drought impacts based on my knowledge of case",NA,No,No,NA,NA,NA,GW,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559-730-8035,sultanacsd@gmail.com,6378.6793578,2033804.14765,7.7883755203517975,399980.7505125562,0.5549401041508655,0,31.424567446069396,0,0,8.66816106914543,0.3919761406396318,21.809490132133465,7.7883755203517975,4.839344971099383,2.9490305492524143
DISTRICT 03 - MENDOCINO,LAKE,CA1700516,LAKE COUNTY CSA 16 - PARADISE VALLEY,C,CSA,72,133,5/29/19,NA,May-19,Clearlake Oaks CWD,CA1710001,County Water District,Inadequate source capacity,Capacity,1,0,0,0,0,"IRWM, System funds",Voluntary Consolidation,Physical,Voluntary,NA,-122.753025,39.04182,Both,excel listed service connections is 72,NA,No,No,GW,NA,GW,SW,2359,8508 PARADISE LAGOON DR. LUCERNE CA 95458,060330006021,"Block Group 1, Census Tract 6.02, Lake County, California",727,303,536,246,1,2,0,13,149,186,0,13,18,32,23,32,70221,37327,301,108,198,92,103,65,707-998-3322,d.mann@clocwd.org,34466.2450419,15696938.7902,703.917966291611,38971074.57895807,40.600621382409855,0.7932974422036353,1477.5553686595324,47.40212144948964,0,97.83162775361515,3.5594133270306565,1287.3682873047835,703.917966291611,471.85383774205184,232.0641285495592
"
DISTRICT 11 - MERCED",MADERA,CA2010014,HILLVIEW WATER CO-GOLDSIDE,C,IOU,309,1020,NA,Jun-20,Jun-20,CAL AM - GOLDSIDE,CA2010014,IOU,"IRON, MANGANESE",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7172959,37.34688678,Both,NA,NA,No,No,NA,GW,GW,GW,1020,45735 N Oakview Dr Oakhurst CA 93644,060390001033,"Block Group 3, Census Tract 1.03, Madera County, California",1295,366,1079,375,38,62,0,13,22,36,0,13,132,144,24,41,68814,20253,473,117,348,116,125,91,559-683-4322,jim.foster@amwater.com,11694.6388832,4199460.82026,53.19964167769339,3606084.859631112,1.3002547060874088,2.245894492332797,138.78070862361227,0.5452240424958761,0,7.801528236524452,3.308569693353786,123.57923745281796,53.19964167769339,38.50364766106239,14.695994016631005
LPA39 - EL DORADO COUNTY,EL DORADO,CA0900581,"NATIONAL 9",NC,Private (other),2,63,10/15/2021,NA,Oct-21,SOUTH TAHOE PUD - MAIN,CA0910002,PUD,LACK OF SECONDARY WATER SOURCE,Sustainability,0,0,0,0,1,Private,NA,NA,Voluntary,NA,NA,NA,Excel Dec 2021 update,NA,NA,No,No,GW,NA,GW,GW,121124,3901 PIONEER TRAIL SOUTH LAKE TAHOE CA 96150,060170316012,"Block Group 2, Census Tract 316.01, El Dorado County, California",521,250,303,204,0,13,0,13,118,117,0,13,74,116,26,41,NA,NA,254,100,8,14,246,100,530-543-6521,cstanley@stpud.dst.ca.us,129127.553572,201858011.038,11340.705530708852,NA,1421.7052078147583,194.13635552104364,27181.648762567766,60.49204723837237,38.00183606146031,1555.8865588968781,1411.2202305033563,22500.206526531896,11340.705530708852,5914.074711638347,5426.630819070504
District 09- Sacramento,NEVADA,CA2910007,NEVADA ID - CASCADE SHORES,C,ID,393,959,8/31/17,NA,Aug-17,Nevada ID-E. George,CA2910004,Irrigation District,"Landslide, Preventative for DBPs",Multiple,0,0,0,1,1,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.909277,39.263953,Both,"Landslide part of issue field comes from partnerships tool, just said preventative DBCP in excel data",NA,No,No,SW,NA,SW,SW,17233,13118 SARGENT JACOBS DRIVE NEVADA CITY CA 95959,060570007016,"Block Group 6, Census Tract 7.01, Nevada County, California",1835,462,1827,462,0,13,0,13,0,13,0,13,0,13,8,17,72375,30547,808,200,710,214,98,73,530-273-6185,close@nidwater.com,72366.483566,44066370.4961,4596.42977377407,NA,143.63846775914072,36.30416583269314,9691.519023728328,16.253291316949007,20.27438967698408,80.79722971545715,430.18175042911474,8964.069728997989,4596.42977377407,2198.9893132770685,2397.4404604970014
District 23 - Fresno,FRESNO,CA1000276,ORANGE CENTER SCHOOL,NTNC,School,3,410,6/27/19,NA,Jun-19,City of Fresno,CA1010007,City,Lead,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.780911,36.682749,Both,NA,NA,No,No,GW,NA,GW,SW,541990,3530 S CHERRY FRESNO CA 93706,060190018001,"Block Group 1, Census Tract 18, Fresno County, California",1305,340,772,253,10,13,0,13,79,84,0,13,199,155,245,198,66023,38865,354,103,154,53,200,104,559-621-5314,BUD.TICKEL@FRESNO.GOV,446458.144162,458896843.477,157502.87281071552,NA,63453.92575886591,34518.32682084753,482370.98307885823,5664.311747631592,831.779678780202,60938.9916806395,44747.082523011595,272216.5648690819,157502.87281071552,74296.02058509437,83206.85222562116
LPA75 - SHASTA COUNTY,SHASTA,CA4500084,MCARTHUR MOBILEHOME PARK,C,MHP,41,99,NA,Oct-16,Oct-16,FALL RIVER VALLEY C.S.D.,CA4510008,CSD,Manganese,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-121.396952,41.051763,Tool,NA,NA,No,No,GW,NA,GW,GW,1535,44304 A St McArthur CA 96056,060890127022,"Block Group 2, Census Tract 127.02, Shasta County, California",1144,376,844,323,5,11,11,21,5,11,0,13,49,61,230,199,41000,13951,462,117,260,92,202,111,530-336-5263,generalmgr@frvcsd.org,34162.9649347,11401447.7514,28.00584284537168,1149495.7333779423,0.3192039095445754,0.3029497483416016,69.29988522684074,0.6882743197921702,0,2.9577734678998913,13.893728936722955,51.13795484453954,28.00584284537168,15.799880365903926,12.205962479467757
LPA49 - LA COUNTY,LOS ANGELES,CA1900009,ADAMS RANCH MUTUAL,C,MWC,177,500,NA,March.2016,Mar-16,CAL/AM WATER COMPANY - SAN MARINO,CA1910139,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-118.0668405,34.0873692,Tool,NA,NA,No,No,GW,NA,GW,SWP,47626,9227 Pitkin St. Rosemead CA 91770,060374322021,"Block Group 1, Census Tract 4322.02, Los Angeles County, California",1502,461,160,132,1,3,0,13,1031,442,0,13,254,248,56,88,72500,15686,406,109,229,82,177,99,626-614-2533,jessica.taylor@amwater.com,57230.0574693,32520007.2677,16925.225798627165,NA,31205.096779621563,417.1343721855173,56647.85591396533,1022.3075265030478,89.82366997435555,7118.263222540682,2102.462964924552,14692.767378215613,16925.225798627165,10386.518403347574,6538.70739527959
DISTRICT 17 - SANTA CLARA,SANTA CLARA,CA4300504,ARROWHEAD COOPERATIVE COMPANY,C,IOU,39,109,8/26/19,NA,Aug-19,San Jose Water Company,CA4310011,IOU,Monitoring & Reporting,TMF Capacity,0,0,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.0537117,37.2880083,Both,NA,NA,No,No,SWP,NA,SWP,SW,1007514,21401 Prospect Rd. Saratoga CA 95070,060855077023,"Block Group 3, Census Tract 5077.02, Santa Clara County, California",2423,653,333,168,0,13,0,13,1937,618,0,13,0,13,153,218,250001,NA,715,163,541,120,174,135,408-761-7142,suzanne.delorenzo@sjwater.com,267123.810466,553080765.454,307096.9297247544,NA,324766.38816573453,25728.350625205807,952518.9324633719,5188.055768388239,4521.362473291548,127945.23055374084,72544.57318454822,391824.97169246274,307096.9297247544,174925.71022125374,132171.21950350067
"
DISTRICT 11 - MERCED",MADERA,CA2010013,HILLVIEW WATER CO- COARSEGOLD,C,IOU,25,83,NA,Jun-20,Jun-20,CAL AM - COARSEGOLD,CA2010013,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7036,37.217101,Both,NA,NA,No,No,NA,GW,GW,GW,83,46109 Rd 417 Coarsegold CA 93614,060390001102,"Block Group 2, Census Tract 1.10, Madera County, California",2413,538,1854,510,17,30,104,70,0,13,0,13,37,59,401,152,82641,15275,955,249,867,252,88,63,559-683-4322,jim.foster@amwater.com,3589.3175954,890050.055665,33.42862317490175,2762574.8477970557,0,0.5950644963071515,84.4641546817151,3.6403945656437506,0,1.2951403743155652,14.036521354068693,64.89703389137995,33.42862317490175,30.34828931166473,3.08033386323702
District 01 - Klamath,TRINITY,CA5301003,LEWISTON PARK MWC,C,MWC,168,551,7/1/18,NA,Jul-18,Lewiston CSD,CA5301002,CSD,monitoring violation,TMF Capacity,0,0,1,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-122.8101756,40.69910505,Both,Partnerships tool lists none for issues,NA,No,No,GW,NA,GW,SW,701,415 3rd Ave. Lewiston CA 96052,061050001012,"Block Group 2, Census Tract 1.01, Trinity County, California",1365,308,1144,254,1,2,20,28,106,108,0,13,27,28,67,87,47098,4139,543,98,377,86,166,67,530-778-0306,meldeardorff@gmail.com,6618.86215423,1670829.88697,0.2996691950447929,14189.154545734262,0.008486707497326974,5.101734256669324e-5,0.7582790803727952,0.139569460187921,0,0.008561496348234865,0.013681059236160087,0.5879293397605857,0.2996691950447929,0.20807084817676952,0.09159834686802334
LPA34- Butte County,BUTTE,CA0400066,DURHAM UNIFIED SCHOOL DISTRICT,NTNC,School,18,1200,8/30/17,NA,Aug-17,Durham Irrigation,CA0410003,Irrigation District,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.8020703,39.6475502,Both,NA,NA,No,No,GW,NA,GW,GW,1561,9420 Putney Dr. Durham CCA 95938,060070015001,"Block Group 1, Census Tract 15, Butte County, California",1322,722,1259,721,0,13,0,13,58,79,0,13,5,10,0,13,103462,38337,396,123,306,115,90,85,530-330-0169,matt.doyle101@gmail.com,10266.7702374,3399010.95611,42.641043339066314,NA,3.354319654519668,12.995026281131047,159.89576938241265,0,0,0.2747358394063893,10.328153062531706,132.94353454482385,42.641043339066314,26.408267886242566,16.232775452823752
